1571
qstr_Breaking_camp... Breaking_camp...
qstr_You_were_a_child_of_ You_were_a_child_of_the_steppe,_born_to_a_tribe_of_wandering_nomads_who_lived_in_great_camps_throughout_the_arid_grasslands._Like_the_other_tribesmen,_your_family_revered_horses_above_almost_everything_else,_and_they_taught_you_how_to_ride_almost_before_you_learned_how_to_walk._
qstr_As_the_{reg3?daughte As_the_{reg3?daughter:son}_of_a_thief,_you_had_very_little_'formal'_education._Instead_you_were_out_on_the_street,_begging_until_you_learned_how_to_cut_purses,_cutting_purses_until_you_learned_how_to_pick_locks,_all_the_way_through_your_childhood._Still,_these_long_years_made_you_streetwise_and_sharp_to_the_secrets_of_cities_and_shadowy_backways.
qstr_As_a_{reg3?girl:boy} As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_were_sent_to_live_in_the_court_of_one_of_the_nobles_of_the_land._There,_your_first_lessons_were_in_humility,_as_you_waited_upon_the_lords_and_ladies_of_the_household._But_from_their_chess_games,_their_gossip,_even_the_poetry_of_great_deeds_and_courtly_love,_you_quickly_began_to_learn_about_the_adult_world_of_conflict_and_competition._You_also_learned_from_the_rough_games_of_the_other_children,_who_battered_at_each_other_with_sticks_in_imitation_of_their_elders'_swords.
qstr_As_a_{reg3?girl:boy}_ As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_with_a_local_craftsman_to_learn_a_trade._After_years_of_hard_work_and_study_under_your_new_master,_he_promoted_you_to_journeyman_and_employed_you_as_a_fully_paid_craftsman_for_as_long_as_you_wished_to_stay.
qstr_As_a_{reg3?girl:boy}_g As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_apprenticed_to_a_wealthy_merchant,_picking_up_the_trade_over_years_of_working_shops_and_driving_caravans._You_soon_became_adept_at_the_art_of_buying_low,_selling_high,_and_leaving_the_customer_thinking_they'd_got_the_better_deal.
qstr_As_a_{reg3?girl:boy}_gr As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_took_to_the_streets,_doing_whatever_you_must_to_survive._Begging,_thieving_and_working_for_gangs_to_earn_your_bread,_you_lived_from_day_to_day_in_this_violent_world,_always_one_step_ahead_of_the_law_and_those_who_wished_you_ill.
qstr_As_a_{reg3?girl:boy}_gro As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_rode_the_great_steppes_on_a_horse_of_your_own,_learning_the_ways_of_the_grass_and_the_desert._Although_you_sometimes_went_hungry,_you_became_a_skillful_hunter_and_pathfinder_in_this_trackless_country._Your_body_too_started_to_harden_with_muscle_as_you_grew_into_the_life_of_a_nomad_{reg3?woman:man}.
qstr_{reg3?daughter:man} {reg3?daughter:man}
qstr_Though_the_distincti Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you._When_you_were_named_squire_to_a_noble_at_court,_you_practiced_long_hours_with_weapons,_learning_how_to_deal_out_hard_knocks_and_how_to_take_them,_too._You_were_instructed_in_your_obligations_to_your_lord,_and_of_your_duties_to_those_who_might_one_day_be_your_vassals._But_in_addition_to_learning_the_chivalric_ideal,_you_also_learned_about_the_less_uplifting_side_--_old_warriors'_stories_of_ruthless_power_politics,_of_betrayals_and_usurpations,_of_men_who_used_guile_as_well_as_valor_to_achieve_their_aims.
qstr_{reg3?woman:man} {reg3?woman:man}
qstr_Though_the_distinctio Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_joined_the_tightly-knit_circle_of_women_at_court,_ladies_who_all_did_proper_ladylike_things,_the_wives_and_mistresses_of_noble_men_as_well_as_maidens_who_had_yet_to_find_a_husband._However,_even_here_you_found_politics_at_work_as_the_ladies_schemed_for_prominence_and_fought_each_other_bitterly_to_catch_the_eye_of_whatever_unmarried_man_was_in_fashion_at_court._You_soon_learned_ways_of_turning_these_situations_and_goings-on_to_your_advantage._With_it_came_the_realisation_that_you_yourself_could_wield_great_influence_in_the_world,_if_only_you_applied_yourself_with_a_little_bit_of_subtlety.
qstr_Though_the_distinction Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_set_out_on_your_own_with_nothing_except_the_instrument_slung_over_your_back_and_your_own_voice._It_was_a_poor_existence,_with_many_a_hungry_night_when_people_failed_to_appreciate_your_play,_but_you_managed_to_survive_on_your_music_alone._As_the_years_went_by_you_became_adept_at_playing_the_drunken_crowds_in_your_taverns,_and_even_better_at_talking_anyone_out_of_anything_you_wanted.
qstr_Though_the_distinction_ Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{reg3?woman:man},_and_the_whole_world_seemed_to_change_around_you._You_found_yourself_as_a_student_in_the_university_of_one_of_the_great_cities,_where_you_studied_theology,_philosophy,_and_medicine._But_not_all_your_lessons_were_learned_in_the_lecture_halls._You_may_or_may_not_have_joined_in_with_your_fellows_as_they_roamed_the_alleys_in_search_of_wine,_women,_and_a_good_fight._However,_you_certainly_were_able_to_observe_how_a_broken_jaw_is_set,_or_how_an_angry_townsman_can_be_persuaded_to_set_down_his_club_and_accept_cash_compensation_for_the_destruction_of_his_shop.
qstr_Though_the_distinction_f Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._Heeding_the_call_of_the_open_road,_you_travelled_from_village_to_village_buying_and_selling_what_you_could._It_was_not_a_rich_existence,_but_you_became_a_master_at_haggling_even_the_most_miserly_elders_into_giving_you_a_good_price._Soon,_you_knew,_you_would_be_well-placed_to_start_your_own_trading_empire...
qstr_Though_the_distinction_fe Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._You_pursued_a_career_as_a_smith,_crafting_items_of_function_and_beauty_out_of_simple_metal._As_time_wore_on_you_became_a_master_of_your_trade,_and_fine_work_started_to_fetch_fine_prices._With_food_in_your_belly_and_logs_on_your_fire,_you_could_take_pride_in_your_work_and_your_growing_reputation.
qstr_Though_the_distinction_fel Though_the_distinction_felt_sudden_to_you,_somewhere_along_the_way_you_had_become_a_{s13},_and_the_whole_world_seemed_to_change_around_you._Dissatisfied_with_common_men's_desperate_scrabble_for_coin,_you_took_to_your_local_lord's_own_forests_and_decided_to_help_yourself_to_its_bounty,_laws_be_damned._You_hunted_stags,_boars_and_geese_and_sold_the_precious_meat_under_the_table._You_cut_down_trees_right_under_the_watchmen's_noses_and_turned_them_into_firewood_that_warmed_many_freezing_homes_during_winter._All_for_a_few_silvers,_of_course.
qstr_Only_you_know_exactl Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._Still,_it_was_not_a_difficult_choice_to_leave,_with_the_rage_burning_brightly_in_your_heart._You_want_vengeance._You_want_justice._What_was_done_to_you_cannot_be_undone,_and_these_debts_can_only_be_paid_in_blood...
qstr_Only_you_know_exactly Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._All_you_can_say_is_that_you_couldn't_bear_to_stay,_not_with_the_memories_of_those_you_loved_so_close_and_so_painful._Perhaps_your_new_life_will_let_you_forget,_or_honour_the_name_that_you_can_no_longer_bear_to_speak...
qstr_Only_you_know_exactly_ Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._You're_not_even_sure_when_your_home_became_a_prison,_when_the_familiar_became_mundane,_but_your_dreams_of_wandering_have_taken_over_your_life._Whether_you_yearn_for_some_faraway_place_or_merely_for_the_open_road_and_the_freedom_to_travel,_you_could_no_longer_bear_to_stay_in_the_same_place._You_simply_went_and_never_looked_back...
qstr_Only_you_know_exactly_w Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._However,_you_know_you_cannot_go_back._There's_nothing_to_go_back_to._Whatever_home_you_may_have_had_is_gone_now,_and_you_must_face_the_fact_that_you're_out_in_the_wide_wide_world._Alone_to_sink_or_swim...
qstr_Only_you_know_exactly_wh Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._To_everyone_else,_it's_clear_that_you're_now_motivated_solely_by_personal_gain._You_want_to_be_rich,_powerful,_respected,_feared._You_want_to_be_the_one_whom_others_hurry_to_obey._You_want_people_to_know_your_name,_and_tremble_whenever_it_is_spoken._You_want_everything,_and_you_won't_let_anyone_stop_you_from_having_it...
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr_{!}__ {!}_-
qstr_{!}_+ {!}_+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_{!}{s1}^{s4}:_{reg4} {!}{s1}^{s4}:_{reg4}
qstr_{!}DEBUG____{s1}^NPC {!}DEBUG_--_{s1}^NPC_in_rejoin_queue:_{s5}^
qstr_On_loan On_loan,
qstr_{!}DEBUG:_{s4}_curre {!}DEBUG:_{s4}_current_mission:_{reg2},_days_on_mission:_{reg3},_prisoner:_{reg4},_pphistory:_{reg5}
qstr_Appoint_next_marshal Appoint_next_marshal
qstr_Award_{s12}_as_fief Award_{s12}_as_fief
qstr_{!}Error__{reg3}_ {!}Error_({reg3})
qstr_{!}{s10}^Faction_pol {!}{s10}^Faction_political_issue:_{s11}
qstr_{!}{s10}__on_agenda_ {!}{s10}_(on_agenda_{reg4}_hours)
qstr_{!}Defending {!}Defending
qstr_{!}Gathering_army {!}Gathering_army
qstr_{!}Besieging_{s11} {!}Besieging_{s11}
qstr_{!}Raiding_{s11} {!}Raiding_{s11}
qstr_{!}Attacking_enemies {!}Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{!}{s12}__controvers {!}{s12}_(controversy:_{reg21})
qstr_{!}{s12}^Screening_p {!}{s12}^Screening_party:_{s38}
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{!}{s5}_{s6} {!}{s5},_{s6}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+30^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_{!}{s2}^{s4}:_{reg1} {!}{s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_Player_honor_is_incr Player_honor_is_increased_by_1_and_it_is_now_{reg7}.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_Being_Driven Being_Driven
qstr_Grazing Grazing
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{!}{s4}_skipped_in_p {!}{s4}_skipped_in_p_total_enemy_casualties_capture_queue_because_is_friendly
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{!}{s17} {!}{s17}
qstr_{!}Victory_comment._ {!}Victory_comment._Player_was_alone
qstr_{!}Ordinary_victory_ {!}Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_{!}Player_participat {!}Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_{!}No_victory_commen {!}No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._You_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_{s9}_wants_you_to_fol {s9}_wants_you_to_follow_{reg0?her:his}_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr_liege liege
qstr_former_liege former_liege
qstr_affiliate affiliate
qstr_former_companion former_companion
qstr_marshall marshall
qstr_vassal vassal
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_castle_gate.
qstr__You_see_the_banner_ _You_see_the_banner_of_your_{s11}_{s7}_over_the_castle_gate.
qstr__You_see_the_banner_o _You_see_the_banner_of_{s7}_over_the_castle_gate.
qstr__Your_own_banner_flie _Your_own_banner_flies_over_the_town_gates.
qstr__You_see_the_banner_of _You_see_the_banner_of_your_{s11}_{s7}_over_the_town_gates.
qstr__You_see_the_banner_of_ _You_see_the_banner_of_{s7}_over_the_town_gates.
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
qstr_The_{reg6?town_s:cast The_{reg6?town's:castle's}_food_stores_have_run_out_and_the_defenders_are_starving.
qstr_You_re_preparing_to_ You're_preparing_to_attack_the_walls,_the_work_should_finish_in_{reg9}_hours.
qstr_Your_forces_are_buil Your_forces_are_building_a_siege_tower._They_estimate_another_{reg9}_hours_to_complete_the_build.
qstr_You_are_ready_to_att You_are_ready_to_attack_the_walls_at_any_time.
qstr_The_siege_tower_is_b The_siege_tower_is_built_and_ready_to_make_an_assault.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_town_walls,_but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!_You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_y The_town_centre_is_yours,_but_the_remaining_defenders_have_retreated_to_the_castle._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_castle_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr_However_since_you_a However,_since_you_are_not_a_sworn_{man/follower}_of_{s9},_there_is_no_chance_{reg0?she:he}_would_recognize_you_as_the_{lord/lady}_of_this_{reg8?town:castle}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr_As_you_approach_you As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{s10}.
qstr_As_you_approach_you_ As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{king/queen}.
qstr_As_you_approach_you_a As_you_approach,_you_are_spotted_by_the_castle_guards,_who_welcome_you_and_open_the_gates_for_their_{lord/lady}.
qstr_{!}Prosperity:_{reg4 {!}Prosperity:_{reg4}
qstr__This_village_and_th _This_village_and_the_surrounding_lands_belong_to_you.
qstr__You_remember_that_t _You_remember_that_this_village_and_the_surrounding_lands_belong_to_your_{s11}_{s7}.
qstr__You_remember_that_th _You_remember_that_this_village_and_the_surrounding_lands_belong_to_{s7}.
qstr__These_lands_belong_ _These_lands_belong_to_no_one.
qstr_{!}_{s3}__{reg9}_. {!}_{s3}_({reg9}).
qstr__The_village_is_infe _The_village_is_infested_by_{reg8}_{s35}.
qstr__The_peasants_hired_ _The_peasants_hired_mercenaries_and_are_rebelling_against_you.
qstr__The_village_has_bee _The_village_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_village_is_bein _The_village_is_being_raided.
qstr_No_one_here_seems_to No_one_here_seems_to_be_willing_to_join_your_party.
qstr_One_{s3}_volunteers_ One_{s3}_volunteers_to_follow_you.
qstr_{reg5}_{s3}_voluntee {reg5}_{s3}_volunteer_to_follow_you.
qstr_Try_as_you_might_yo Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_The_{s17}_has_the_fol The_{s17}_has_the_following_improvements:{s18}.
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_You_fail_to_steal_an You_fail_to_steal_any_cattle.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_{reg12?heads:head}_of_cattle_from_the_village's_herd.
qstr_{!}DEBUG____Prosperi {!}DEBUG_--_Prosperity:_{reg4}
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__This_castle_has_no_ _This_castle_has_no_garrison.
qstr__The_banner_of_your_ _The_banner_of_your_{s11}_{s7}_flies_over_the_town_gates.
qstr__This_town_has_no_ga _This_town_has_no_garrison.
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr_{s13}_A_tournament_w {s13}_A_tournament_will_be_held_here_soon.
qstr_{!}DEBUG___Current_t {!}DEBUG_-_Current_town_is_{s3},_but_also_checking_{s4}
qstr___{reg1}_denars_per_ _({reg1}_denars_per_night)
qstr_Moreover_you_earn_{ Moreover,_you_earn_{reg8}_denars_from_the_clever_bets_you_placed_on_yourself...
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_{!}{s11}^{s12} {!}{s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_peasants_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_peasants_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_peasants_and_their_new_champion.
qstr_{s1}_s_Ship {s1}'s_Ship
qstr_{!}DEBUG___{s1} {!}DEBUG_-_{s1}
qstr_However_{reg3?You_a However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_denars_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_{reg4?her:him}_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_Find_and_speak_with_{ Find_and_speak_with_{s3}_of_{s4}_to_give_{reg4?her:him}_your_oath_of_homage.
qstr_There_has_been_an_al There_has_been_an_alleged_border_incident:_{s9}
qstr_{!}{s11}{s12} {!}{s11}{s12}
qstr_{!}DEBUG____Hours_si {!}DEBUG_--_Hours_since_last_feast_started:_{reg4}
qstr_^^Note_that_so_long_ ^^Note_that_so_long_as_you_remain_marshal,_the_lords_of_the_realm_will_be_expecting_you_to_lead_them_on_campaign._So,_if_you_are_awaiting_a_feast,_either_for_a_wedding_or_for_other_purposes,_you_may_wish_to_resign_the_marshalship_by_speaking_to_your_liege.
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_rebelling_village.
qstr_{reg0} {reg0}
qstr_positive positive
qstr_negative negative
qstr_{s11}^^_The_current_ {s11}^^_The_current_garrison_consists_of_{reg5}_men.^The_food_stock_lasts_for_{reg6}_days.
qstr_^^Additional_the_fol ^^Additional_the_following_parties_are_currently_inside:^
qstr_{s12}_{s3}_with_{reg {s12}_{s3}_with_{reg1}_troops.^
qstr_{playername}_^^I_al {playername},_^^I_always_knew_you_were_a_bad_egg,_since_the_day_you_have_pledged_allegiance_to_my_clan._^Did_you_really_think_you_could_set_my_family_against_me?_You've_dropped_your_mask,_you_snake!_You_are_an_infliction,_and_I_will_not_bear_it_anymore._^Hereby,_I_disown_and_ban_you_from_my_house._I_have_urged_my_family_to_fight_you,_and_I_will_warn_Calradia_lords_about_your_infamy._^Tremble_with_fear,_you_have_a_deadly_enemy!_^^{s9}.
qstr_{playername}^^_I_ve {playername},^^_I've_received_a_letter_from_{s9},_telling_me_about_your_disgraceful_jiggery-pokery._In_the_present_circumstances,_{s9}_could_not_provide_evidence._But_unlike_you,_{reg1?she:he}_is_a_distinguished_member_of_my_family;_and_since_all_these_years,_I_never_had_any_reason_to_distrust_{reg1?her:him}._I_take_{reg1?her:him}_charges_for_granted._^Hopefully,_you_failed_to_breakup_my_family_unit._Hereby_I_reject_your_pledge_:_you_are_no_longer_related_to_my_house._Each_membership_will_retaliate_against_you_in_all_conscience..._^I_would_be_ashamed_to_confess_how_you_maliciously_fooled_me,_so_I_will_not_challenge_you,_to_not_be_accountable_for_your_death_to_my_{s11}._However_I'm_not_used_to_telling_{reg0?her:him}_about_every_rat_I_crush_in_the_wilderness,_and_someday_I_may_find_you_there_!_^^{s10}
qstr_{!}{s0}^^_WARNING:_U {!}{s0}^^_WARNING:_Unexpected_version_value_in_slot_dplmc_slot_troop_affiliated_in_trp_dplmc_chamberlain:_{reg0}
qstr_{!}{s0}^^_DEBUG:_Int {!}{s0}^^_DEBUG:_Internal_update_code_for_current_saved_game_is_{reg0}.__Update_code_for_the_current_release_is_160101.
qstr_{playername} {playername}
qstr_Troops:_{reg1} Troops:_{reg1}
qstr_Prosperity_Report^ Prosperity_Report^
qstr_Total Total
qstr_{s0}^{s1}_Average_To {s0}^{s1}_Average_Town_Prosperity:_{reg0}
qstr_{s0}^{s1}_towns_with {s0}^{s1}_towns_with_prosperity_80-100:_{reg0}
qstr_{s0}^{s1}_towns_with_ {s0}^{s1}_towns_with_prosperity_60-79:_{reg0}
qstr_{s0}^{s1}_towns_with_p {s0}^{s1}_towns_with_prosperity_40-59:_{reg0}
qstr_{s0}^{s1}_towns_with_pr {s0}^{s1}_towns_with_prosperity_20-39:_{reg0}
qstr_{s0}^{s1}_towns_with_pro {s0}^{s1}_towns_with_prosperity_0-19:_{reg0}
qstr_{!}{s0}^ {!}{s0}^
qstr_{s0}^{s1}_Average_Vi {s0}^{s1}_Average_Village_Prosperity:_{reg0}
qstr_{s0}^{s1}_villages_w {s0}^{s1}_villages_with_prosperity_80-100:_{reg0}
qstr_{s0}^{s1}_villages_wi {s0}^{s1}_villages_with_prosperity_60-79:_{reg0}
qstr_{s0}^{s1}_villages_wit {s0}^{s1}_villages_with_prosperity_40-59:_{reg0}
qstr_{s0}^{s1}_villages_with {s0}^{s1}_villages_with_prosperity_20-39:_{reg0}
qstr_{s0}^{s1}_villages_with_ {s0}^{s1}_villages_with_prosperity_0-19:_{reg0}
qstr_cut cut
qstr_pierce pierce
qstr_blunt blunt
qstr_Damage_preference Damage_preference
qstr_Item_meta_type Item_meta-type
qstr_Upgrade_armor Upgrade_armor
qstr_Upgrade_horse Upgrade_horse
qstr_damage_type_changed_ damage_type_changed_from_{reg3},_slot_{reg2}_now_{reg1}
qstr_damage_type_changed_f damage_type_changed_from_{reg1},_slot_{reg2}_now_{reg3}
qstr_meta_type_changed_fr meta_type_changed_from_{reg1},_slot_{reg2}_now_{reg3}
qstr_finding_best_{reg2} finding_best_{reg2},{reg1},{reg0}_for_{s1}
qstr_found_{s0}_better_va found_{s0}_better_value_{reg0}_for_{s1}
qstr_upgrading_slot_{reg2 upgrading_slot_{reg2}_with_{reg0},_cur_score_{reg1}
qstr_upgrading_slot_{reg2} upgrading_slot_{reg2}_with_{reg0},_cur_score_for_{s1}:_{reg1}
qstr_{s1}_better_than_{s2 {s1}_better_than_{s2},_score_of_{reg1}
qstr_sworn_{man/woman} sworn_{man/woman}
qstr_free_{man/woman} free_{man/woman}
qstr_{s1}{s2}_{reg46?Reput {s1}{s2}_{reg46?Reputed_to_be_{s42}:}^Renown:_{reg40},_Controversy:_{reg41}_{reg46?Impatience:_{reg43}:}^{reg44?{s44}_n:N}oble_of_the_{s45}^{reg46?Liege:_{s46},_Relation:_{reg47}:Ruler_of_the_{s45}}^^{reg48?Currently_prisoner_of_the_{s48}:}^Days_since_last_meeting:_{reg49}^^Fiefs_{reg51?(was_promised_a_fief):}:^__{reg50?{s50}:no_fief}
qstr_High_centralization_r High_centralization_reduces_tax_inefficiency_for_the_king_and_raises_it_for_vassals._This_will_interfere_with_relations_between_ruler_and_vassals.
qstr_{s10}s {s10}s
qstr_{s1}{s2}_{reg46?Repute {s1}{s2}_{reg46?Reputed_to_be_{s42}:}^Renown:_{reg40},_Controversy:_{reg41}_{reg46?Impatience:_{reg43}:}^{reg46?{reg44?{s44}_noble:Noble}_of_the_{s45}^Liege:_{s46},_Relation:_{reg47}:Ruler_of_the_{s45}}^^{reg48?Currently_prisoner_of_the_{s48}:}^Days_since_last_meeting:_{reg49}^^Fiefs_{reg51?(was_promised_a_fief):}:^__{reg50?{s50}:no_fief}
qstr_next_weapons next_weapons
qstr_swapping_weapons swapping_weapons
